isim,Spotify_Isim,Spotify_ID,Takipci,EveryNoise_Tur,Spotify_Tur
Gülşen,Gülşen,1F2v33FQTavJyaD7ZsyhdA,2472935,turkish pop,"turkish pop, t-pop"
Ferhat Göçer,Ferhat Göçer,13jj3uGldU7cSQLaFkf2Zm,939708,turkish pop,"turkish pop, arabesk"
İrem Derici,İrem Derici,5h2jTdwf4p0dM34aBykPzZ,1578189,turkish pop,"turkish pop, t-pop"
Yusuf Güney,Yusuf Güney,7ictQXHIBmXODb4ykTI95n,691972,turkish pop,"turkish pop, karadeniz folk"
Burak Kut,Burak Kut,3A6DEEgGTMl77LFLCzwc5T,204189,turkish pop,turkish pop
Ayse Hatun Onal,Ayse Hatun Onal,25yeRs08qswXKKtq0HYTMS,179846,turkish pop,"turkish pop, t-pop"
Işın Karaca,Işın Karaca,0iKWCp8QXDXAD3wzFrExYr,320226,turkish pop,"turkish pop, arabesk"
Tuğba Özerk,Tuğba Özerk,30Lb5Jijp6ynpodpRsrqIX,224748,turkish pop,turkish pop
Rober Hatemo,Rober Hatemo,3aYxHPDvu8SETLVJBEUqld,268073,turkish pop,"turkish pop, arabesk, oyun havasi"
Murat Boz,Murat Boz,53oeVgECSa18dkHBQ9X6Eh,2427016,turkish pop,"turkish pop, t-pop"
Hande Yener,Hande Yener,08mjMUUjyTchMHCW7evc3R,2197039,turkish pop,"turkish pop, t-pop"
Yalın,Yalın,46zuW8tHxwahYn7VNMgYTa,2683786,turkish pop,turkish pop
