isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Yıldırım Gürses,"Bursa, Turkey",,solo,Bursa,6kXPV5voVTzEyOk8DBVruu,19285.0,28.0,"arabesk, turkish pop","arabesk, turkish pop",,
Zeki Müren,"Bursa, Bursa, Turkey",,solo,Bursa,0ZZDIo31D35xGrXYTodWrL,831655.0,50.0,"arabesk, anatolian rock","arabesk, anatolian rock",klasik,turkish folk
Şakir Öner Günhan,"Mudanya, Bursa, Turkey",,solo,Bursa,6LU1rZGXuW6kz3dOl631bQ,1250.0,5.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",halk,turkish psych
Ekin Beril,"Çanakkale, Çanakkale, Turkey",,solo,Çanakkale,1sJ90imre0sj4Kj4a8xyXp,137534.0,37.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Ferda Anıl Yarkın,"Çanakkale, Çanakkale, Turkey",,solo,Çanakkale,6JW5Xd0t6NrsAGHoX2dgep,83973.0,39.0,"turkish pop, arabesk","turkish pop, arabesk",pop,turkish pop
Ankaralı Namık,"Kurşunlu, Çankırı, Turkey",,solo,Çankırı,7esfmVT7dmJnsm1byX2m8e,276683.0,49.0,"oyun havasi, arabesk","oyun havasi, arabesk",,arabesk
Irmak Arıcı,"Çankırı, Çankırı, Turkey",,solo,Çankırı,3WKZeiNOV5dnANlQnjL95B,484441.0,48.0,turkish pop,turkish pop,,turkish pop
Aşık Gülabi,"Sungurlu, Çorum, Turkey",,solo,Çorum,5oAjarshcRlAy9qdTm2pD7,17047.0,27.0,arabesk,arabesk,halk,turkish folk
Kerem Yılmazer,"Denizli, Turkey",,solo,Denizli,5lN3QjtFAhtgKAlMG6p6VX,1266.0,2.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish psych
Bedri Ayseli,"Diyarbakır, Diyarbakır, Turkey",,solo,Diyarbakır,0owBljMoJQ5h6njj4ZXZdL,2370.0,16.0,"oyun havasi, arabesk","oyun havasi, arabesk",,
Coşkun Sabah,"Diyarbakır, Turkey",,solo,Diyarbakır,3t9amHxqH06I4C0TrXgz86,41048.0,29.0,arabesk,arabesk,,arabesk
Emrah,"Diyarbakır, Diyarbakır, Turkey",,solo,Diyarbakır,7fq3nZT2euZJrDRkV0u5Oe,210557.0,42.0,"arabesk, turkish pop","turkish pop, t-pop",,arabesk
Mahsun Kırmızıgül,"Hani, Diyarbakır, Turkey",,solo,Diyarbakır,6sRtOE8HVK51ptGUx0ni72,2.0,0.0,arabesk,"arabesk, turkish pop, oyun havasi",,
Sarp Apak,"Diyarbakır, Diyarbakır, Turkey",,solo,Diyarbakır,6pyRonaUv19Q4SxGtLTMBC,2073.0,21.0,anatolian rock,anatolian rock,,
Ayşen,"Edirne, Edirne, Turkey",,solo,Edirne,08oAUWkKDEXXo7mekNbdgj,9720.0,28.0,turkish pop,karadeniz folk,,deep turkish pop
Cem Adrian,"Edirne, Edirne, Turkey",,solo,Edirne,2AWUCT9xtcvkjpFq1ZgpPj,3775421.0,60.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish rock, turkish singer-songwriter"
Rafet El Roman,"Edirne, Edirne, Turkey",,solo,Edirne,5gs9qloTR5m6dM0ScMty3H,869148.0,53.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Serkan Çağrı,"Keşan, Turkey",,solo,Edirne,4akuBVfGNrog5QxqchJemw,38.0,0.0,arabesk,oyun havasi,,
Ali Avaz,"Elazig, Turkey",,solo,Elazığ,5ndNfClbKR9DBdkjvGZlLj,1097.0,8.0,"arabesk, turkish pop",,halk,
Bülent Serttaş,"Keban, Elazığ, Turkey",,solo,Elazığ,4gW3frVd81rA0rxAclZnlR,199381.0,48.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,arabesk
Fatih Kısaparmak,"Elazığ, Turkey",,solo,Elazığ,5JiRFs54W65l4k97s66Eef,119585.0,39.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,"arabesk, turkish folk"
Gazapizm,"Elazığ, Elazığ, Turkey",,solo,Elazığ,2boacFGRX1WIo7NFS8B0F2,4216388.0,62.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,turkish hip hop
Narkoz,"Elazığ, Elazığ, Turkey",,solo,Elazığ,12AdxoH53slHpDUYy1gn5H,125.0,5.0,arabesk,arabesk,,turkish hip hop
Ali Ekber Çiçek,"Erzincan, Erzincan, Turkey",,solo,Erzincan,3ow4WG9vAXw8FpFsPUq6bp,74602.0,33.0,"traditional music, arabesk, karadeniz folk","arabesk, traditional music, karadeniz folk",halk,turkish folk
Cem Yıldız,"Erzincan, Erzincan, Turkey",,solo,Erzincan,3SASCp3Mzy7lT50cZn11yr,26055.0,50.0,arabesk,arabesk,,
Hüseyin Turan,"Erzincan, Erzincan, Turkey",,solo,Erzincan,1QJ4cc1Nitlr67JEmEZO8m,167230.0,34.0,"arabesk, oyun havasi","arabesk, oyun havasi",,turkish folk
Oğuzhan Koç,"Erzincan, Erzincan, Turkey",,solo,Erzincan,1nFJWl30l3PAHei86OxN0i,1653718.0,60.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Yavuz Top,"Tercan, Erzincan, Turkey",,solo,Erzincan,6HdzcNlDKahhaCt6iZw89x,9129.0,16.0,"arabesk, traditional music","traditional music, arabesk",halk,turkish folk
Arif Sağ,"Aşkale, Erzurum, Turkey",,solo,Erzurum,1Nq4oosKQ4TQScASZpgbz0,194710.0,43.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,"turkish folk, turkish psych"
Aysun Gültekin,"İspir, Erzurum, Turkey",,solo,Erzurum,2MLjlRGWX0OfGgCa6Oshkg,13412.0,28.0,arabesk,arabesk,halk,turkish folk
Erdal Erzincan,"Aşkale, Erzurum, Turkey",,solo,Erzurum,0K1A8j2BAJOGSQ39DZQeoR,269056.0,43.0,arabesk,arabesk,"halk, folk",turkish folk
Fatih Ürek,"Erzurum, Erzurum, Turkey",,solo,Erzurum,31wtQ6z7fJgIe76hay4lNt,9631.0,33.0,"oyun havasi, turkish pop","oyun havasi, turkish pop",,deep turkish pop
Hüseyin Altın,"Erzurum, Erzurum, Turkey",,solo,Erzurum,6mIZXmKzEY920fEhTQuZGJ,96472.0,37.0,arabesk,arabesk,"halk, arabesk",arabesk
Nurullah Akçayır,"Erzurum, Erzurum, Turkey",,solo,Erzurum,5jgr7SPAHDvVOn7yxKQKAf,4785.0,21.0,arabesk,arabesk,halk,turkish folk
Allame,"Trabzon, Trabzon, Turkey","Eskişehir, Eskişehir, Turkey",solo,Eskişehir,25FdziPY37yQIRXSk7ZUmS,459759.0,52.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Ağaçkakan,"Ankara, Ankara, Turkey","Eskişehir, Eskişehir, Turkey",solo,Eskişehir,7ssDDQAUFA9Z5k5VbbqYxg,31577.0,31.0,"turkish hip hop, experimental hip hop","turkish hip hop, experimental hip hop",,turkish hip hop
Ethnique Punch,"Eskişehir, Eskişehir, Turkey","Berlin, Berlin, Germany",solo,Eskişehir,4eSAzGCtD0jcxNuNK4OkDn,25488.0,19.0,turkish hip hop,turkish hip hop,,turkish hip hop
Joker,"Eskişehir, Eskişehir, Turkey",,solo,Eskişehir,2Fu5huGG8iXC85P9akyYrr,207864.0,45.0,turkish hip hop,"mandopop, c-pop, taiwanese pop",,"turkish trap, turkish hip hop"
Kubilay Karça,"Eskişehir, Eskişehir, Turkey",,solo,Eskişehir,2pbct1ni3yLLAfzrSXQDrH,618878.0,54.0,"turkish hip hop, arabesk, turkish pop","turkish hip hop, arabesk, turkish pop",,
Nalan,"Eskişehir, Eskişehir, Turkey",,solo,Eskişehir,2ro4mTRj9qAtITiacU8bJg,163426.0,45.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Piiz,"Eskişehir, Eskişehir, Turkey",,grup,Eskişehir,3K2LeXoWGM9YnbtrRj4WS3,50185.0,26.0,anatolian rock,anatolian rock,,turkish rock
Tuna Kiremitçi,"Eskişehir, Eskişehir, Turkey",,solo,Eskişehir,799GDxXgsUDuGSbh5HJ3Kv,151016.0,50.0,turkish pop,turkish pop,,"turkish pop, turkish rock"
Yiğit Seferoğlu,,"Eskişehir, Eskişehir, Turkey",solo,Eskişehir,23PyUBxakP5fM83oPh8Alc,26479.0,32.0,turkish hip hop,turkish hip hop,,"turkish alt-pop, turkish singer-songwriter"
Aşık Ali Nurşani,"Islahiye, Gaziantep, Turkey",,solo,Gaziantep,0Bh5y2ZUJpRka7h6lrc6Mp,12365.0,25.0,arabesk,arabesk,,turkish folk
Ersan Erdura,"Gaziantep, Gaziantep, Turkey",,solo,Gaziantep,1YGvsx5BBCcrUVPOxTwIR8,16190.0,27.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Sena Şener,"Gaziantep, Gaziantep, Turkey",,solo,Gaziantep,7CW2eGwAuElNq09rVtZYsM,869000.0,57.0,turkish pop,turkish pop,elektronik,"turkish rock, turkish alt-pop"
Yurdaer Doğulu,"Gaziantep, Turkey",,solo,Gaziantep,4WAKs4LjsvSbjK1PMuXF2r,553.0,2.0,anatolian rock,anatolian rock,,
Raziel Nisroc,"Giresun, Giresun, Turkey",,solo,Giresun,3mzvJJRG6GYE4qLd9RiDlR,6725.0,21.0,turkish hip hop,turkish hip hop,,turkish hip hop
Yılmaz Erdoğan,"Hakkari, Hakkari, Turkey",,solo,Hakkari,7JWEZHPTl5SYtTBKDktoE8,17122.0,24.0,arabesk,arabesk,,
Gökhan Güney,"Reyhanlı, Hatay, Turkey",,solo,Hatay,3WS5nkXR6SFOM5CBaVCRrK,98176.0,33.0,arabesk,arabesk,rap,arabesk
Kalben,"İskenderun, Hatay, Turkey",,solo,Hatay,4sldxVDeyb0J8OMoYApqfV,1242544.0,61.0,turkish pop,turkish pop,,"turkish rock, turkish singer-songwriter"
Knock Out,,"Hatay, Hatay, Turkey",solo,Hatay,7m4MegoOzuTPWeNk8paI1z,4056.0,25.0,turkish hip hop,laïko,,turkish hip hop
Selami Şahin,"Yayladağı Yoncakaya, Hatay, Turkey",,solo,Hatay,4EBYDiIrM8szoEusJsTGak,105929.0,44.0,"arabesk, turkish pop","arabesk, turkish pop",,"arabesk, turkish folk"
Emre Aydın,"Isparta, Turkey",,solo,Isparta,66vIaZFb8okZH0npc4eQ5q,1167777.0,58.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
Ayşe Dinçer,"Mersin, Mersin, Turkey",,solo,Mersin,10hvYFe8uqgX8uoarTU3LP,15853.0,27.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,arabesk
Bergen,"Mersin, Mersin, Turkey",,solo,Mersin,0OjAaymO59uGiFmfpJrQpl,1830809.0,53.0,arabesk,"ballet, classical, orchestral, expressionism",,arabesk
Manuş Baba,"Tarsus, Mersin, Turkey",,solo,Mersin,6p4UYgBKfV1XMDvD9KrtTv,1009859.0,55.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish rock"
Mavi Sakal,"Tarsus, Mersin, Turkey",,grup,Mersin,7jdDY1STf0v9hTldYOqGJV,82838.0,27.0,anatolian rock,anatolian rock,,
Musa Eroğlu,"Kıravga, Mersin, Turkey",,solo,Mersin,295s7rUdwD6adgPiYMRUAM,1013343.0,54.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,"arabesk, turkish folk"
Nurettin Rençber,"Mersin, Mersin, Turkey",,solo,Mersin,0eZircNzjxnRUtRBVOsth2,455917.0,52.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,turkish folk
Osman Şahin,"Mersin, Mersin, Turkey",,solo,Mersin,2fumwqaB8nyGEvJBybrypA,1852.0,15.0,turkish hip hop,turkish hip hop,,
Patron,"Mersin, Mersin, Turkey",,solo,Mersin,2r8iLFeSTuOiZualHmSXxS,1256086.0,52.0,turkish hip hop,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño",,"turkish trap, turkish hip hop"
Saian,"Mersin, Mersin, Turkey",,solo,Mersin,2YsCT6yDqeYeJehuSS8fmW,154.0,7.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Tarık,"Mersin, Mersin, Turkey",,solo,Mersin,3pInSswG4gIaur1ZkaoiJv,8068.0,34.0,turkish pop,"jazz funk, jazz fusion",,deep turkish pop
Yung Ouzo,"Tarsus, Mersin, Turkey",,solo,Mersin,3VooEK5HkkcSc4Tv7FCBzb,133279.0,54.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Zehra,"Mut, Mersin, Turkey",,solo,Mersin,2kdaYJfJVIGBaNcMmrg13p,107716.0,38.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
80 Kalibre,"İstanbul, İstanbul, Turkey",,grup,İstanbul,0A93Ejwtdyv8Fcf2r9pVOD,6690.0,10.0,anatolian rock,anatolian rock,,turkish metal
90 BPM,,"İstanbul, İstanbul, Turkey",grup,İstanbul,7JCJA9JUFT138Nuivyxp9n,63853.0,34.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
AYYUKA,"Eskişehir, Eskişehir, Turkey","İstanbul, İstanbul, Turkey",grup,İstanbul,0wVMkLE2htJSq6K3AYMuig,34462.0,23.0,anatolian rock,anatolian rock,rock,turkish jazz
Abdullah Yüce,"İstanbul, Turkey",,solo,İstanbul,5agejBFWnrViLJ1ORkIvLJ,7179.0,7.0,"arabesk, ghazal","arabesk, ghazal",,
Acil Servis,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5iFyNfYVmpx6tEhF8rfQEb,13089.0,28.0,anatolian rock,anatolian rock,,"turkish rock, turkish metal"
Adamlar,"İstanbul, İstanbul, Turkey",,grup,İstanbul,1g4J8P1JWwanNyyXckRX5W,2237204.0,59.0,anatolian rock,anatolian rock,rock,turkish rock
Ados,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4jtv7mIerRdHNQOkFtKyDW,212688.0,41.0,turkish hip hop,"koplo, dangdut, sholawat",rap,turkish hip hop
Affet Robot,,"İstanbul, İstanbul, Turkey",solo,İstanbul,5JKCTc4rWBiwFqal63KTKt,7341.0,10.0,"darkwave, post-punk, cold wave, synthpop, anatolian rock","darkwave, cold wave, post-punk, synthpop, anatolian rock",,turkish electronic
Ahmet Sezgin,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5J0O9umiIVCYMFf1O90AwY,1348.0,3.0,arabesk,arabesk,halk,
Ahmet Üstüner,,"İstanbul, İstanbul, Turkey",solo,İstanbul,10ZegKkfsyPh6HGvgVc6fl,1030.0,10.0,turkish hip hop,turkish hip hop,,
Ahmet Şafak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,24gLJANAKvytHDVboMg7N2,183120.0,45.0,arabesk,arabesk,rap,arabesk
Ajda Pekkan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,27XMnTLvCO7t3qGlQyTMkF,1051161.0,61.0,turkish pop,turkish pop,pop,"turkish pop, turkish psych"
Alaca,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1sUkLgaVgfmxRqlaZpLOHP,4959.0,13.0,turkish hip hop,turkish hip hop,,turkish alt-pop
Aleyna Dalveren,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0DEH6yu5YarHecSDgOQDfR,42622.0,16.0,turkish pop,turkish pop,,deep turkish pop
Ali Yilmaz,"Izmir, Izmir, Turkey","Istanbul, Istanbul, Turkey",solo,İstanbul,5FyeR10yXQea7ESJoj38KB,1209.0,6.0,"karadeniz folk, oyun havasi, arabesk","karadeniz folk, oyun havasi, arabesk",,
Alican,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6Q39MHR4dKfsHjx92eU9HZ,833.0,32.0,turkish pop,"techno, tech house",,turkish electronic
Alişan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,321nPMiJ4ZY5ihxMz99R4J,163717.0,53.0,"arabesk, turkish pop, oyun havasi","arabesk, turkish pop, oyun havasi",,
Anti-Kahraman,"İstanbul, İstanbul, Turkey",,grup,İstanbul,2lc31Br4sKNXlebHsj6PQN,2698.0,4.0,turkish hip hop,turkish hip hop,pop,
Anıl Şallıel,,"İstanbul, İstanbul, Turkey",solo,İstanbul,7wNfIZCBLC3oT0b9a7qcir,5063.0,28.0,turkish pop,turkish pop,,turkish jazz
Arda Gezer,,"İstanbul, İstanbul, Turkey",solo,İstanbul,1fCfko2pBGowIzqjakqxF8,39612.0,34.0,turkish hip hop,turkish hip hop,,turkish hip hop
Ari Barokas,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2tk4lPBD4i3STz8VYPaF9P,96522.0,42.0,anatolian rock,anatolian rock,,"turkish rock, turkish singer-songwriter"
Artz,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,2QU0UNvQvEZ2fuRUhkUNq4,249133.0,47.0,turkish hip hop,mizrahi,,"turkish trap, turkish hip hop"
Arzu,"İstanbul, Turkey",,solo,İstanbul,3Au4jDJrVlVBwBD4Ls4v7z,76485.0,41.0,"arabesk, oyun havasi, karadeniz folk","arabesk, oyun havasi, karadeniz folk",,turkish folk
Arzu Ece,"İstanbul, İstanbul, Turkey",,solo,İstanbul,07lVhiCOYNIF2pIhIV5lmO,355.0,1.0,"turkish pop, arabesk",,,
Asil Slang,,"İstanbul, İstanbul, Turkey",solo,İstanbul,3e9tJNBWrydJK3VKpkyWyT,40709.0,35.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Asli Hünel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5qeHNlum7qknPvto41yLOv,8073.0,18.0,"turkish pop, arabesk, oyun havasi","turkish pop, arabesk, oyun havasi",sanat müziği,deep turkish pop
Aslı Güngör,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5q6LVjgGCZ2GlHjit9qClh,128479.0,43.0,"turkish pop, arabesk, karadeniz folk","turkish pop, karadeniz folk, arabesk",pop,"turkish pop, turkish folk"
Asu Maralman,"Bakırköy, İstanbul, Turkey",,solo,İstanbul,49cht9n59NXoBFK1gIolXJ,40057.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish psych
Asım Can Gündüz,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3uJAsCBlYYXXyYrBHaBxRR,12746.0,26.0,"anatolian rock, blues","anatolian rock, blues",rock,turkish metal
Ata Demirer,"Bursa, Bursa, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,7nAno9XIXRqSsdS1YH0sop,41947.0,40.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,
Athena,"İstanbul, İstanbul, Turkey",,grup,İstanbul,1Hy8tdpH9ygqoohumHZqVl,1116813.0,52.0,"turkish pop, anatolian rock","hyperpop, jersey club, nightcore",,turkish rock
Ati242,"Immenstadt, Bayern, Germany","İstanbul, İstanbul, Turkey",solo,İstanbul,6bGOmNBU1AOgttgOjh0ldf,4035597.0,72.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Atilla Kaya,"İstanbul, İstanbul, Turkey",,solo,İstanbul,55dxJQtMgnMst1oFt98djw,64222.0,42.0,arabesk,arabesk,"arabesk, sanat müziği, taverna",arabesk
Atilla Taş,"Ceyhan, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,0v6XLbkgDgcHEPfytOB8IW,8021.0,23.0,"turkish pop, oyun havasi","turkish pop, oyun havasi",,deep turkish pop
Atiye,"Bremen, Bremen, Germany","İstanbul, İstanbul, Turkey",solo,İstanbul,56g1u3Bu0S5072aksxyBei,579811.0,53.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Ayben,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4B744cRUGT2IOu9Uuh7Ad7,238265.0,44.0,turkish hip hop,,rap,"turkish trap, turkish hip hop"
Aydın,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4xklx5DAtVru5uf3vSXTgf,30051.0,58.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,
Ayfer Vardar,,"İstanbul, İstanbul, Turkey",solo,İstanbul,4bF95o3d3wLa5cIPD0MWfQ,32381.0,39.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",,turkish folk
Aykut Gürel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0ifw7jPQQ2i6xuSOAhk3mP,1222.0,39.0,turkish pop,turkish pop,,
Ayla Algan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4hqP91hNWDZJxPKaw68KbN,29484.0,25.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",halk,turkish psych
Ayla Çelik,"Ardahan, Ardahan, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,3Z7GwK4hUEczTklLsVedcx,51435.0,40.0,turkish pop,turkish pop,,"turkish pop, turkish singer-songwriter"
Ayna,"İstanbul, İstanbul, Turkey",,grup,İstanbul,1Jx9NS6PLxRIVCCv0NxGjA,182399.0,50.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",metal,turkish rock
Aysu Baçeoğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul,772pal7dvNQwd7iqW4MCDM,3067.0,27.0,turkish pop,turkish pop,,
Ayten Alpman,"İstanbul, İstanbul, Turkey",,solo,İstanbul,72YIDLCAmSi6zavbWIIhUD,22206.0,50.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop","caz, pop",turkish jazz
Ayşe Tunalı,"Istanbul, Istanbul, Turkey",,solo,İstanbul,19GuQDP0gp4BlKmZk2Kq7E,26856.0,32.0,arabesk,arabesk,"arabesk, klasik",
Ayşe Özyılmazel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5JVOrEOHz2JLB9WzFw5BfW,61635.0,25.0,turkish pop,turkish pop,pop,turkish pop
Ayşegül Aldinç,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1pHd2SEhBRbA7RmMlaxT6v,311852.0,49.0,turkish pop,turkish pop,,turkish pop
Ayşen Gruda,"Yeşilköy, İstanbul, Turkey",,solo,İstanbul,1JDSfThL75Q8eL8auGWSs4,46.0,1.0,anatolian rock,anatolian rock,,
Aşkın Nur Yengi,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2fYdUIUPS7aDdWCzb8Aw2k,855544.0,54.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
BaBa ZuLa,"İstanbul, İstanbul, Turkey",,grup,İstanbul,39zIRxvWFOGGH4hxGqRkLy,93489.0,32.0,anatolian rock,anatolian rock,"halk, elektronik","turkish rock, turkish folk, turkish jazz, turkish psych"
Badem,"Istanbul, Turkey",,grup,İstanbul,27sJOP3QjNbw349IrcROwj,351800.0,44.0,"anatolian rock, turkish pop","koplo, dangdut, sholawat",,turkish rock
Baha Boduroğlu,"Fatih, İstanbul, Turkey",,solo,İstanbul,5mW103YUYbiRMIQXqXUNYf,682.0,16.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",pop,
Baht,"İstanbul, İstanbul, Turkey",,grup,İstanbul,2pzE4g9V2qFWoTIWkeT1KM,3407.0,26.0,arabesk,batak,,turkish metal
Banu Parlak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,38uZn1mtkujAvteNv4SkU0,242849.0,39.0,turkish pop,turkish pop,,turkish pop
Barış Manço,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3eVuump9qyK0YCQQo4mKbc,3098032.0,61.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk","rock, latin","turkish rock, turkish psych"
Batuflex,,"İstanbul, İstanbul, Turkey",solo,İstanbul,15AZJFNrXtIN4Nk8BIOnS2,2006637.0,65.0,"turkish hip hop, drill","turkish hip hop, drill",rap,"turkish trap, turkish hip hop"
Batuhan Mutlugil,"İstanbul, İstanbul, Turkey",,solo,İstanbul,73UTp1X3auvO2JT0BuyZUU,18780.0,24.0,anatolian rock,anatolian rock,"alternatif, rock",turkish rock
Bege,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6q1sTU51oryTTcWTPTd0VC,863590.0,55.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Behiye Aksoy,"Çamlica, İstanbul, Turkey",,solo,İstanbul,1cp0LtfcNQUFTT1SGzeFRK,33516.0,26.0,arabesk,arabesk,sanat müziği,
Belkıs Akkale,"Istanbul, Turkey",,solo,İstanbul,3JDnwrAqfEfuIWCF5TvKNH,24010.0,33.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,turkish folk
Berdan Mardini,"Diyarbakir, Diyarbakır, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,2oeGCE0qqEpX9wHC2pn4D3,94510.0,40.0,"oyun havasi, arabesk","oyun havasi, arabesk",,arabesk
Bertuğ Cemil,"Bursa, Turkey","Istanbul, Turkey",solo,İstanbul,5tx85QaiGLUloXNLcBS3h5,6248.0,26.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock",
Beta Berk Bayındır,"İstanbul, İstanbul, Turkey",,solo,İstanbul,63f9vjw52BL5c3f5TSlg72,135215.0,41.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Betül Demir,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6aMuEI7xrBQvb2z0lXWwCR,282927.0,38.0,turkish pop,turkish pop,,turkish pop
Beyaz Kelebekler,"İstanbul, Turkey",,grup,İstanbul,0CdO8pNYr6JdJPTnf7D1Nw,18689.0,22.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",pop,turkish psych
Bilal Sonses,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6iBdV6h17D1kOnK9lFyWo3,1905315.0,51.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Bilgen Bengü,"İstanbul, Turkey",,solo,İstanbul,1hAHMocEufbSptd2Qnhtp1,14807.0,9.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Bora Ayanoğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1zStM6YpkGN7FRROMpAmn1,11109.0,18.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Bora Öztoprak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6YsJXJZKI0ERDqb3IHBnpy,43980.0,31.0,turkish pop,turkish pop,,turkish pop
Bubituzak,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5A3vP76mmczG3YosF51OLB,33482.0,24.0,anatolian rock,anatolian rock,rock,turkish rock
Bulutsuzluk Özlemi,,"İstanbul, İstanbul, Turkey",grup,İstanbul,1x59izw7Q1MpfZyzJpTfb4,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
Burak Kut,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3A6DEEgGTMl77LFLCzwc5T,203286.0,46.0,turkish pop,turkish pop,,turkish pop
Burak Malçok,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,3CmmR547H2prfmsee200bE,2891.0,26.0,"anatolian rock, sufi","anatolian rock, sufi",,
Burak Özçivit,"İstanbul, Turkey",,solo,İstanbul,3RQhPwN8rAZcSshtioF1Ak,5457.0,20.0,arabesk,arabesk,,
Burhan Bayar,,"İstanbul, İstanbul, Turkey",solo,İstanbul,02znH6l9lpk6Qv2zD22yjy,1459.0,24.0,"arabesk, turkish pop","arabesk, turkish pop",,
Burry Soprano,,"İstanbul, İstanbul, Turkey",solo,İstanbul,5SpHQasdZkIx2RFJzvBBsD,79780.0,48.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,"turkish trap, turkish hip hop"
