isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Edgeflame,"Ankara, Ankara, Turkey",,grup,Ankara
Mesut Ulutaş,"Ankara, Ankara, Turkey",,solo,Ankara
Mehmet Turgut,"Ankara, Ankara, Turkey",,solo,Ankara
Seth.ECT,"Ankara, Ankara, Turkey","Düsseldorf, Nordrhein-Westfalen, Germany",grup,Ankara
Bülent Ortaçgil,"Ankara, Ankara, Turkey","Bozburun, Muğla, Turkey",solo,Ankara
Black Tooth,"Ankara, Ankara, Turkey",,grup,Ankara
Süleyman Karaahmet,"Ankara, Ankara, Turkey",,solo,Ankara
Deniz Güvenç,"Ankara, Ankara, Turkey",,solo,Ankara
Cenotaph,"Ankara, Ankara, Turkey",,grup,Ankara
Batu Çetin,,,solo,Ankara
Cihan Akün,,,solo,Ankara
Lille Gruber,,,solo,Ankara
Alican Erbaş,,,solo,Ankara
Erkin Öztürk,,,solo,Ankara
Florent Duployer,,,solo,Ankara
Chef Bi,"Ankara, Ankara, Turkey",,solo,Ankara
Suicide,"Ankara, Ankara, Turkey",,grup,Ankara
Sezai Aydın,"Ankara, Ankara, Turkey",,solo,Ankara
Sezai Aydın,"Ankara, Ankara, Turkey",,solo,Ankara
Hayırsız Ada,"Ankara, Ankara, Turkey",,grup,Ankara
Ahmet Tansu Taşanlar,"Ankara, Ankara, Turkey",,solo,Ankara
Avni Tuna Dilligil,"Ankara, Ankara, Turkey",,solo,Ankara
Cemal Cihan Kırlı,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,Ankara
Joe Strummer,"Ankara, Ankara, Turkey",,solo,Ankara
The 101ers,,,solo,Ankara
The Clash,,,solo,Ankara
Electric Dog House,,,solo,Ankara
The Pogues,,,solo,Ankara
Joe Strummer & The Latino Rockabilly War,,,solo,Ankara
Joe Strummer & The Mescaleros,,,solo,Ankara
Carnophage,"Ankara, Ankara, Turkey",,grup,Ankara
Atalay Uluışık,"Ankara, Ankara, Turkey",,solo,Ankara
Ilter Yenisen,"Ankara, Ankara, Turkey",,solo,Ankara
ORF-Big Band,,,solo,Ankara
Orchester des Theater an der Wien,,,solo,Ankara
Orchester Der Vereinigten Buehnen Wien,,,solo,Ankara
Burial Invocation,"Ankara, Ankara, Turkey",,grup,Ankara
Cihan Akün,,,solo,Ankara
Mustafa Gürcalioğlu,,,solo,Ankara
Malik Çamlıca,,,solo,Ankara
Engin Güngör,,,solo,Ankara
Ozan Yıldırım,,,solo,Ankara
Murat Karahan,"Ankara, Ankara, Turkey",,solo,Ankara
No Relics,"Ankara, Ankara, Turkey",,grup,Ankara
Koray Avcı,"Ankara, Ankara, Turkey",,solo,Ankara
Sema Moritz,"Ankara, Ankara, Turkey",,solo,Ankara
Tayfun Karatekin,"Ankara, Ankara, Turkey",,solo,Ankara
Stardust International,,,solo,Ankara
Bekir Kerem Kurt,"Ankara, Ankara, Turkey",,solo,Ankara
Pilli Bebek,"Ankara, Ankara, Turkey",,grup,Ankara
Cem Kısmet,,,solo,Ankara
Daydreamers & Nonsmokers,"Ankara, Ankara, Turkey",,grup,Ankara
Elif Ongan Tekçe,"Ankara, Ankara, Turkey",,solo,Ankara
Brutal Dissection,"Ankara, Ankara, Turkey",,grup,Ankara
Thapsus,"Ankara, Ankara, Turkey",,grup,Ankara
Sibel Egemen,"Ankara, Ankara, Turkey",,solo,Ankara
