isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Pin Up,"İstanbul, İstanbul, Turkey",,İstanbul,grup,590rFDnmwmO78cA9M7o0mh,Pin Up,2733.0,18.0,,,,
veys colak,,,,,2cYVMBJ2l1XozraQRRAHhw,Veys Colak,2728.0,25.0,,,,turkish alt-pop
ascera,,,,,6h5S54D14qLsqsymfWj1Pz,Ascera,2727.0,10.0,djent,djent,,
Çağıl Kaya,,"İstanbul, İstanbul, Turkey",İstanbul,solo,5EM3r7Q75BR9DNqs0K2SuR,Çağıl Kaya,2726.0,6.0,,,,turkish jazz
aziz azmet,,,,,4vNXPhLkry7MKEnpSeHAA5,Aziz Azmet,2725.0,17.0,anatolian rock,anatolian rock,rock,turkish psych
Siddhartha,"İstanbul, İstanbul, Turkey",,İstanbul,grup,7IS8jEym5HRRgpht3V2Tdm,Siddhartha,2720.0,20.0,"space rock, progressive rock","mexican indie, latin indie, latin alternative, rock en español",,
erkan güleryüz,,,,,7bu7Sjsr6mYsR2TZzrnzpm,Erkan Güleryüz,2719.0,11.0,turkish pop,turkish pop,,deep turkish pop
Aylin Urgal,"İstanbul, İstanbul, Turkey",,İstanbul,solo,6OhouCXUEwLn79044dF473,Aylin Urgal,2712.0,13.0,"turkish pop, anatolian rock",,,
ozen arslantas,,,,,3bqlDXTFeUVMwfgwQ3nOxk,Ozen Arslantas,2710.0,22.0,,,,turkish electronic
ece göksu,,,,,5uPvze4cAKyuSWBuXtZhzV,Ece Göksu,2709.0,5.0,,,,turkish jazz
Acrimony,"Izmir, Turkey",,İzmir,grup,2pxnGBHxpXFIujVn8oRg37,Acrimony,2707.0,9.0,"stoner metal, stoner rock, sludge metal, doom metal, space rock",,,
fatma şahin,,,,,7bsoZzb3f2kIERiKI9HKA0,Fatma Şahin,2706.0,13.0,,,,
mustafa ertürk,,,,,6ETzxGruhBmti55capT6df,Mustafa Ertürk,2703.0,25.0,"oyun havasi, arabesk","oyun havasi, arabesk",,
